sl_no,gender,age,address,Medu,Fedu,Mjob,Fjob,famsup,paid,activities,internet,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
181,M,22,U,4,3,teacher,other,yes,yes,yes,yes,65,Central,71.5,Central,Commerce,62.8,Comm&Mgmt,Yes,57,Mkt&Fin,50,Placed,500000
182,M,23,U,3,3,services,other,no,yes,yes,yes,62,Private,60.33,State,Science,64.21,Sci&Tech,No,63,Mkt&HR,95,Not Placed,
183,M,22,U,2,4,services,services,yes,no,yes,no,52,Central,65,Private,Arts,57,Others,Yes,75,Mkt&Fin,63,Not Placed,
184,M,23,U,3,3,other,other,yes,no,yes,yes,65,Private,77,Central,Commerce,69,Comm&Mgmt,No,60,Mkt&HR,90,Placed,400000
185,F,19,U,3,2,other,other,yes,yes,no,yes,56.28,Central,62.83,Central,Commerce,59.79,Comm&Mgmt,No,60,Mkt&HR,73,Not Placed,
186,F,23,U,3,3,services,services,yes,no,yes,yes,88,Central,72,State,Science,78,Others,No,82,Mkt&HR,72,Placed,200000
187,F,22,U,1,2,services,services,yes,yes,yes,yes,52,Central,64,State,Commerce,61,Comm&Mgmt,No,55,Mkt&Fin,80,Not Placed,
188,M,18,U,2,1,other,other,no,yes,yes,yes,78.5,Central,65.5,Central,Science,67,Sci&Tech,Yes,95,Mkt&Fin,94,Placed,300000
189,M,20,U,3,3,health,other,yes,no,no,yes,61.8,Private,47,Private,Commerce,54.38,Comm&Mgmt,No,57,Mkt&Fin,50,Not Placed,
190,F,20,R,1,2,at_home,other,no,no,no,no,54,Central,77.6,Central,Commerce,69.2,Comm&Mgmt,No,95.65,Mkt&Fin,91,Not Placed,
191,F,18,U,2,3,services,services,no,no,no,yes,64,Private,70.2,State,Commerce,61,Comm&Mgmt,No,50,Mkt&Fin,94,Not Placed,
192,M,22,U,1,1,at_home,services,no,no,yes,yes,67,Private,61,Central,Science,72,Comm&Mgmt,No,72,Mkt&Fin,80,Placed,350000
193,M,20,U,1,2,at_home,services,no,yes,yes,yes,65.2,Central,61.4,State,Commerce,64.8,Comm&Mgmt,Yes,93.4,Mkt&Fin,70,Placed,350000
194,F,19,R,3,3,services,services,yes,no,yes,yes,60,State,63,Central,Arts,56,Others,Yes,80,Mkt&HR,90,Placed,400000
195,M,23,U,2,3,other,other,no,no,no,yes,52,Central,55,Central,Commerce,56.3,Comm&Mgmt,No,59,Mkt&Fin,76,Not Placed,
196,M,22,U,2,4,services,services,no,no,yes,yes,66,Central,76,Private,Commerce,72,Comm&Mgmt,Yes,84,Mkt&HR,88,Placed,350000
197,M,20,U,4,4,services,teacher,no,no,no,yes,72,Private,63,Private,Science,77.5,Sci&Tech,Yes,78,Mkt&Fin,85,Placed,250000
198,F,21,R,3,3,teacher,other,yes,yes,yes,yes,83.96,Central,53,Central,Science,91,Sci&Tech,No,59.32,Mkt&HR,76,Placed,200000
199,F,21,U,4,4,services,teacher,yes,no,no,yes,67,State,70,State,Commerce,65,Others,No,88,Mkt&HR,59,Not Placed,
200,M,19,U,4,4,teacher,teacher,yes,yes,no,yes,69,Private,65,State,Commerce,57,Comm&Mgmt,No,73,Mkt&HR,59,Placed,350000
201,M,20,U,4,3,health,other,yes,no,yes,yes,69,State,60,State,Commerce,65,Comm&Mgmt,No,87.55,Mkt&Fin,78,Placed,400000
202,M,18,U,2,3,other,other,yes,yes,yes,no,54.2,Central,63,Private,Science,58,Comm&Mgmt,No,79,Mkt&HR,65,Not Placed,
203,M,18,U,1,1,other,other,yes,yes,no,no,70,Private,63,Private,Science,66,Sci&Tech,No,61.28,Mkt&HR,76,Placed,250000
204,M,19,R,2,2,other,other,yes,no,no,yes,55.68,State,61.33,State,Commerce,56.87,Comm&Mgmt,No,66,Mkt&HR,95,Placed,200000
205,F,23,R,2,2,services,services,yes,yes,yes,yes,74,Central,73,Private,Commerce,73,Comm&Mgmt,Yes,80,Mkt&Fin,82,Placed,500000
206,M,20,U,3,4,at_home,services,yes,yes,no,yes,61,Central,62,Private,Commerce,65,Comm&Mgmt,No,62,Mkt&Fin,73,Placed,200000
207,M,23,U,3,1,services,other,yes,yes,no,yes,41,State,42,Private,Science,60,Comm&Mgmt,No,97,Mkt&Fin,88,Not Placed,
208,M,23,U,4,3,teacher,other,no,yes,yes,yes,83.33,Private,78,Central,Commerce,61,Comm&Mgmt,Yes,88.56,Mkt&Fin,72,Placed,300000
209,F,18,U,1,1,at_home,other,yes,yes,no,no,43,State,60,Private,Science,65,Comm&Mgmt,No,92.66,Mkt&HR,56,Not Placed,
210,M,19,R,4,3,teacher,other,yes,yes,yes,yes,62,Private,72,Private,Commerce,65,Comm&Mgmt,No,67,Mkt&Fin,51,Placed,300000
211,M,18,U,3,3,other,other,yes,yes,yes,yes,80.6,Private,82,State,Commerce,77.6,Comm&Mgmt,No,91,Mkt&Fin,72,Placed,400000
212,M,18,U,4,4,services,other,yes,yes,no,yes,58,Central,60,Private,Science,72,Sci&Tech,No,74,Mkt&Fin,62,Placed,250000
213,M,19,U,2,2,other,other,yes,yes,no,yes,67,Central,67,State,Commerce,73,Comm&Mgmt,Yes,59,Mkt&Fin,65,Placed,200000
214,F,18,U,2,2,services,other,yes,yes,yes,yes,74,State,66,Central,Commerce,58,Comm&Mgmt,No,70,Mkt&HR,84,Placed,200000
215,M,21,R,4,4,services,other,yes,yes,no,no,62,Central,58,State,Science,53,Comm&Mgmt,No,89,Mkt&HR,87,Not Placed,
216,F,21,U,3,2,other,other,no,yes,no,yes,95,Central,75,State,Arts,62,Comm&Mgmt,No,50,Mkt&HR,79,Placed,300000
217,M,23,U,4,3,other,other,no,yes,no,yes,77,Private,80,Private,Arts,94,Sci&Tech,Yes,95,Mkt&HR,83,Not Placed,
218,F,18,U,3,3,services,health,yes,yes,no,yes,80,State,88,Central,Arts,88,Comm&Mgmt,No,75,Mkt&HR,69,Not Placed,
219,F,18,U,2,3,at_home,other,yes,yes,no,no,81,Private,50,State,Science,90,Comm&Mgmt,No,82,Mkt&Fin,72,Placed,400000
220,F,19,U,2,2,at_home,at_home,yes,yes,yes,yes,62,Central,86,State,Arts,59,Comm&Mgmt,No,57,Mkt&HR,55,Placed,400000
221,M,23,R,2,1,at_home,services,yes,no,yes,yes,73,Private,52,Central,Commerce,50,Comm&Mgmt,Yes,63,Mkt&Fin,62,Not Placed,
222,F,21,U,1,1,at_home,other,yes,no,yes,no,76,Private,68,Private,Arts,53,Comm&Mgmt,Yes,77,Mkt&HR,54,Placed,300000
223,M,21,U,2,3,services,teacher,no,no,no,yes,76,Private,67,Private,Arts,69,Comm&Mgmt,Yes,91,Mkt&Fin,82,Not Placed,
224,M,18,U,2,2,other,other,yes,yes,no,yes,83,Central,65,Private,Arts,57,Sci&Tech,Yes,89,Mkt&HR,71,Not Placed,
225,F,18,U,4,4,teacher,services,yes,no,yes,yes,63,State,87,State,Science,77,Comm&Mgmt,No,89,Mkt&HR,54,Placed,250000
226,F,19,R,3,1,other,other,no,no,yes,yes,51,Private,50,Private,Arts,81,Sci&Tech,No,80,Mkt&Fin,67,Placed,250000
227,F,19,U,3,2,other,other,no,no,yes,yes,78,Central,88,Private,Science,55,Comm&Mgmt,No,54,Mkt&Fin,73,Placed,250000
228,F,22,U,2,3,services,services,yes,yes,no,yes,80,Private,64,Private,Arts,76,Sci&Tech,Yes,89,Mkt&Fin,94,Placed,250000
229,F,23,U,2,1,at_home,other,yes,yes,yes,yes,52,Private,73,State,Science,66,Sci&Tech,No,65,Mkt&Fin,66,Placed,200000
230,M,20,U,2,1,other,other,no,no,yes,yes,78,State,59,State,Science,87,Comm&Mgmt,No,62,Mkt&Fin,73,Not Placed,
231,M,20,U,4,3,health,other,no,no,yes,yes,59,Private,91,State,Arts,64,Sci&Tech,No,64,Mkt&Fin,52,Placed,350000
232,F,20,R,2,2,other,other,yes,yes,yes,yes,92,State,83,State,Science,62,Comm&Mgmt,Yes,55,Mkt&HR,91,Placed,350000
233,M,23,U,4,4,teacher,teacher,yes,no,yes,yes,83,Central,61,State,Arts,68,Sci&Tech,No,92,Mkt&HR,80,Placed,350000
234,F,18,U,4,4,health,other,yes,yes,yes,yes,61,State,85,Private,Commerce,84,Comm&Mgmt,No,67,Mkt&Fin,92,Placed,200000
235,M,23,U,1,1,other,other,yes,yes,no,yes,80,Central,74,State,Commerce,71,Sci&Tech,No,78,Mkt&HR,73,Not Placed,
236,M,23,U,3,2,at_home,other,no,no,yes,yes,90,Central,77,State,Science,72,Comm&Mgmt,Yes,72,Mkt&HR,58,Not Placed,
237,M,23,U,2,2,other,other,no,yes,yes,yes,84,Private,71,Central,Science,54,Sci&Tech,Yes,62,Mkt&HR,67,Placed,400000
238,F,18,U,2,1,other,other,no,no,no,yes,63,Central,72,Private,Arts,91,Comm&Mgmt,Yes,87,Mkt&HR,90,Placed,200000
239,M,20,R,2,1,at_home,services,no,no,yes,no,54,State,50,Private,Arts,81,Sci&Tech,No,79,Mkt&Fin,93,Not Placed,
240,M,21,U,2,2,other,services,no,no,no,yes,89,Private,90,Private,Commerce,66,Comm&Mgmt,No,95,Mkt&HR,71,Placed,350000
241,F,23,U,4,3,health,other,no,no,yes,yes,95,State,56,Central,Science,71,Sci&Tech,Yes,77,Mkt&Fin,81,Not Placed,
242,M,20,R,4,4,teacher,other,yes,yes,no,yes,75,Private,93,Private,Commerce,74,Comm&Mgmt,No,66,Mkt&HR,71,Placed,250000
243,M,21,U,4,3,teacher,other,no,no,yes,yes,75,Central,87,Private,Science,95,Comm&Mgmt,No,64,Mkt&Fin,68,Placed,250000
244,F,22,U,4,4,services,services,no,no,yes,yes,50,State,87,Private,Commerce,52,Comm&Mgmt,Yes,89,Mkt&Fin,75,Not Placed,
245,M,19,U,2,1,other,other,yes,yes,no,yes,63,Private,61,Private,Science,50,Sci&Tech,Yes,85,Mkt&Fin,87,Placed,250000
246,F,19,U,2,1,other,other,no,no,no,yes,54,State,66,State,Arts,61,Comm&Mgmt,No,62,Mkt&HR,64,Placed,350000
247,F,21,U,2,3,other,other,no,no,no,yes,85,Central,54,State,Commerce,91,Comm&Mgmt,No,95,Mkt&HR,84,Placed,200000
248,M,18,U,3,1,services,services,no,no,no,yes,91,State,67,State,Commerce,72,Comm&Mgmt,No,61,Mkt&Fin,87,Not Placed,
249,F,18,R,3,3,other,services,yes,no,no,yes,90,Central,51,Private,Science,90,Sci&Tech,No,59,Mkt&HR,54,Not Placed,
250,M,19,U,0,2,other,other,no,yes,no,yes,92,State,85,Central,Arts,77,Comm&Mgmt,Yes,60,Mkt&HR,74,Not Placed,
251,M,20,U,3,2,services,other,no,no,no,yes,55,Private,58,Central,Arts,78,Sci&Tech,No,69,Mkt&HR,95,Not Placed,
252,F,20,U,3,3,at_home,other,yes,no,no,yes,69,Private,55,Central,Arts,59,Sci&Tech,Yes,55,Mkt&Fin,77,Not Placed,
253,F,19,U,2,1,services,services,no,no,no,yes,67,Central,79,State,Commerce,77,Comm&Mgmt,No,79,Mkt&HR,51,Placed,200000
254,F,23,R,2,1,other,other,no,no,yes,no,54,Private,58,Central,Commerce,71,Comm&Mgmt,Yes,62,Mkt&Fin,73,Not Placed,
255,M,22,R,2,1,other,other,no,no,no,yes,71,Central,93,Central,Arts,88,Sci&Tech,No,65,Mkt&HR,90,Not Placed,
256,F,22,U,1,1,health,other,yes,no,yes,yes,66,Central,74,State,Arts,55,Sci&Tech,No,80,Mkt&Fin,88,Not Placed,
257,M,20,U,4,2,teacher,services,yes,yes,yes,yes,71,Central,61,Central,Science,74,Comm&Mgmt,No,80,Mkt&HR,89,Not Placed,
258,F,20,U,4,3,services,at_home,yes,no,no,yes,54,Private,90,State,Commerce,93,Sci&Tech,No,67,Mkt&HR,75,Not Placed,
259,F,18,U,2,1,other,other,no,no,yes,yes,51,Central,69,Central,Science,86,Comm&Mgmt,Yes,84,Mkt&HR,57,Not Placed,
260,M,18,U,2,2,services,services,no,yes,yes,yes,55,Central,82,Private,Arts,83,Comm&Mgmt,Yes,81,Mkt&HR,58,Placed,200000
261,M,22,U,4,3,services,other,yes,yes,no,yes,61,Central,66,State,Science,71,Comm&Mgmt,No,80,Mkt&Fin,73,Not Placed,
262,F,22,U,4,3,teacher,other,yes,yes,no,yes,74,State,55,Central,Arts,53,Sci&Tech,Yes,65,Mkt&HR,82,Not Placed,
263,F,20,R,3,2,other,other,no,no,yes,no,54,Central,60,State,Arts,86,Sci&Tech,No,65,Mkt&Fin,60,Not Placed,
264,M,18,U,3,3,other,other,no,no,yes,no,95,Central,75,Private,Arts,80,Sci&Tech,Yes,80,Mkt&Fin,62,Placed,350000
265,F,21,U,2,2,at_home,services,yes,yes,yes,yes,66,State,60,State,Arts,65,Sci&Tech,No,67,Mkt&HR,87,Not Placed,
266,F,18,R,3,4,other,other,yes,yes,yes,yes,84,State,56,Central,Commerce,72,Comm&Mgmt,Yes,70,Mkt&HR,63,Not Placed,
267,F,21,U,3,1,services,other,no,yes,yes,yes,77,Private,79,Central,Science,59,Sci&Tech,Yes,82,Mkt&HR,93,Not Placed,
268,F,22,R,4,4,teacher,other,no,yes,yes,yes,64,Central,64,State,Arts,89,Sci&Tech,No,88,Mkt&HR,65,Not Placed,
269,M,19,U,4,2,health,other,yes,yes,yes,yes,58,State,95,Private,Science,72,Sci&Tech,No,67,Mkt&HR,71,Not Placed,
270,M,20,R,2,1,other,other,yes,no,no,yes,63,Private,85,Private,Arts,79,Sci&Tech,Yes,61,Mkt&Fin,50,Not Placed,
271,F,20,U,3,3,other,services,yes,yes,yes,yes,52,State,57,State,Arts,68,Sci&Tech,No,84,Mkt&Fin,71,Not Placed,
272,M,20,U,2,3,other,services,yes,yes,yes,yes,71,Central,67,State,Commerce,90,Comm&Mgmt,Yes,73,Mkt&HR,80,Placed,400000
273,M,18,U,1,1,other,other,yes,yes,no,no,63,State,63,Central,Arts,51,Comm&Mgmt,No,89,Mkt&HR,90,Not Placed,
274,M,21,R,1,2,at_home,at_home,yes,yes,yes,no,61,Private,85,Central,Arts,62,Comm&Mgmt,Yes,52,Mkt&HR,71,Not Placed,
275,F,23,U,2,4,at_home,health,yes,yes,no,yes,88,Central,65,Private,Arts,86,Sci&Tech,No,66,Mkt&HR,62,Not Placed,
276,F,18,U,2,2,services,other,yes,yes,no,yes,95,State,78,State,Commerce,72,Comm&Mgmt,Yes,52,Mkt&HR,77,Not Placed,
277,F,21,R,3,2,other,services,no,no,no,yes,72,Private,76,State,Commerce,53,Comm&Mgmt,Yes,94,Mkt&Fin,84,Not Placed,
278,F,22,U,4,4,teacher,services,no,yes,yes,yes,82,Private,75,State,Science,63,Sci&Tech,No,58,Mkt&HR,78,Placed,350000
279,F,21,U,4,4,health,health,yes,no,yes,yes,84,Private,71,Private,Science,74,Sci&Tech,Yes,90,Mkt&HR,68,Placed,350000
280,F,23,U,4,3,teacher,services,no,yes,yes,yes,62,Central,90,Central,Arts,71,Sci&Tech,No,52,Mkt&HR,61,Not Placed,
281,M,21,U,4,1,services,other,no,yes,yes,yes,74,State,53,Central,Commerce,89,Comm&Mgmt,No,59,Mkt&Fin,94,Placed,200000
282,M,20,U,3,2,teacher,services,no,no,no,yes,65,Private,90,Central,Arts,71,Comm&Mgmt,Yes,95,Mkt&HR,62,Placed,350000
283,M,18,R,1,1,at_home,other,yes,yes,yes,no,89,State,91,Central,Arts,88,Comm&Mgmt,No,79,Mkt&HR,89,Placed,355000
284,F,21,U,1,1,other,other,no,no,yes,yes,84,State,66,Central,Science,85,Comm&Mgmt,No,73,Mkt&HR,92,Not Placed,
285,M,23,U,2,2,other,other,yes,no,no,yes,75,State,58,State,Science,77,Comm&Mgmt,Yes,63,Mkt&Fin,80,Not Placed,
286,F,20,U,1,1,other,other,no,yes,no,yes,68,State,55,Central,Commerce,75,Comm&Mgmt,Yes,76,Mkt&HR,61,Placed,400000
287,F,21,U,2,2,at_home,at_home,yes,yes,no,yes,77,State,58,State,Arts,66,Sci&Tech,Yes,61,Mkt&Fin,60,Placed,250000
288,F,22,U,1,1,services,teacher,yes,yes,no,yes,79,Central,67,Central,Science,85,Sci&Tech,Yes,76,Mkt&HR,93,Not Placed,
289,M,18,U,2,1,services,services,no,yes,yes,yes,80,Central,54,Private,Commerce,73,Sci&Tech,No,64,Mkt&HR,72,Not Placed,
290,M,18,U,4,4,teacher,teacher,yes,yes,yes,yes,79,Central,74,Private,Commerce,78,Comm&Mgmt,Yes,66,Mkt&Fin,74,Not Placed,
291,F,20,U,4,2,teacher,other,yes,yes,yes,yes,95,Private,66,Private,Arts,70,Sci&Tech,Yes,69,Mkt&Fin,85,Placed,200000
292,M,18,U,4,3,health,services,yes,yes,no,yes,55,Private,58,State,Science,60,Comm&Mgmt,Yes,95,Mkt&Fin,56,Not Placed,
293,F,22,U,2,1,services,at_home,no,no,no,yes,79,State,85,State,Arts,69,Sci&Tech,Yes,64,Mkt&Fin,64,Not Placed,
294,M,23,R,3,1,services,other,yes,yes,no,no,86,Private,67,Central,Science,69,Comm&Mgmt,No,64,Mkt&HR,52,Placed,300000
295,M,18,R,3,2,services,other,yes,yes,yes,yes,72,Private,82,Private,Commerce,92,Comm&Mgmt,No,65,Mkt&Fin,65,Not Placed,
296,F,20,U,3,3,health,other,yes,yes,no,yes,74,Central,78,Central,Science,84,Sci&Tech,No,68,Mkt&HR,78,Not Placed,
297,F,20,U,4,4,health,other,yes,yes,yes,yes,60,Central,56,Private,Arts,55,Comm&Mgmt,No,74,Mkt&Fin,65,Not Placed,
298,F,21,U,4,3,other,other,yes,yes,no,yes,65,Central,95,State,Arts,52,Comm&Mgmt,Yes,76,Mkt&HR,83,Placed,350000
299,M,22,U,4,3,other,other,yes,yes,no,yes,51,State,65,Central,Science,76,Sci&Tech,No,55,Mkt&HR,52,Not Placed,
300,M,19,U,4,4,teacher,teacher,yes,yes,no,yes,70,Private,76,State,Science,86,Comm&Mgmt,Yes,52,Mkt&Fin,62,Placed,200000
301,F,21,U,4,4,health,other,yes,no,no,yes,55,Private,79,Central,Science,50,Comm&Mgmt,No,80,Mkt&Fin,68,Placed,300000
302,M,23,U,4,4,other,teacher,no,yes,no,yes,66,Private,82,Private,Science,60,Sci&Tech,Yes,64,Mkt&HR,88,Not Placed,
303,F,21,U,4,2,other,other,yes,yes,no,yes,73,Central,59,State,Commerce,86,Comm&Mgmt,No,84,Mkt&HR,79,Not Placed,
304,F,23,U,3,2,health,health,yes,yes,yes,yes,59,Private,51,State,Commerce,78,Sci&Tech,Yes,73,Mkt&HR,56,Placed,250000
305,F,23,U,3,3,other,other,yes,no,yes,yes,71,State,77,Central,Science,86,Sci&Tech,No,72,Mkt&Fin,64,Not Placed,
306,F,20,U,2,4,services,at_home,yes,yes,yes,yes,88,State,68,State,Commerce,94,Comm&Mgmt,Yes,54,Mkt&Fin,67,Not Placed,
307,F,22,U,3,2,services,other,no,no,yes,no,90,Private,54,Central,Commerce,69,Sci&Tech,No,58,Mkt&HR,93,Placed,355000
308,F,18,U,4,4,teacher,services,yes,yes,no,yes,62,Private,81,Private,Science,54,Sci&Tech,Yes,65,Mkt&Fin,94,Not Placed,
309,F,19,R,3,3,other,services,no,no,yes,no,61,State,62,Central,Science,92,Comm&Mgmt,No,68,Mkt&HR,57,Not Placed,
310,F,22,U,1,1,at_home,other,yes,no,yes,yes,56,Central,68,State,Science,73,Sci&Tech,No,92,Mkt&Fin,61,Placed,200000
311,M,23,U,1,2,services,services,no,no,yes,no,87,State,63,Central,Science,68,Sci&Tech,Yes,64,Mkt&HR,68,Not Placed,
312,F,21,U,2,1,at_home,other,yes,no,no,yes,77,State,75,Private,Commerce,66,Sci&Tech,No,73,Mkt&Fin,74,Not Placed,
313,F,20,U,1,2,other,services,no,no,no,yes,86,Central,91,State,Arts,74,Comm&Mgmt,Yes,53,Mkt&HR,94,Not Placed,
314,M,20,U,3,2,services,other,yes,yes,no,yes,60,Private,59,State,Arts,69,Comm&Mgmt,No,93,Mkt&Fin,85,Not Placed,
315,F,18,U,1,1,at_home,health,no,no,no,yes,74,Private,85,Private,Commerce,73,Comm&Mgmt,Yes,60,Mkt&HR,65,Placed,250000
316,M,22,R,2,3,other,other,no,no,no,yes,83,Private,51,State,Science,66,Sci&Tech,No,79,Mkt&Fin,95,Placed,350000
317,F,20,U,2,1,services,other,yes,yes,yes,yes,80,Central,59,Central,Arts,58,Comm&Mgmt,Yes,64,Mkt&HR,53,Not Placed,
318,M,18,U,4,3,other,other,yes,yes,yes,yes,95,State,88,State,Science,87,Sci&Tech,Yes,78,Mkt&HR,91,Placed,200000
319,M,23,R,3,4,at_home,services,yes,yes,yes,yes,51,Private,77,Private,Science,72,Sci&Tech,Yes,63,Mkt&Fin,63,Placed,450000
320,F,23,U,4,4,teacher,other,yes,yes,no,yes,73,Private,84,Central,Science,92,Comm&Mgmt,No,74,Mkt&Fin,56,Not Placed,
321,M,18,U,4,3,services,services,yes,yes,no,yes,54,Central,53,Central,Arts,90,Sci&Tech,No,63,Mkt&Fin,53,Placed,200000
322,M,18,U,2,2,other,other,yes,no,no,no,61,Central,92,State,Arts,82,Comm&Mgmt,Yes,86,Mkt&HR,67,Not Placed,
323,F,22,R,2,2,services,services,yes,yes,yes,yes,75,State,70,Central,Science,50,Comm&Mgmt,No,77,Mkt&Fin,65,Not Placed,
324,F,21,U,3,1,services,services,yes,no,no,yes,71,Private,71,Private,Arts,79,Sci&Tech,No,95,Mkt&HR,54,Not Placed,
325,F,21,U,0,2,at_home,at_home,no,no,no,yes,95,Private,81,Central,Arts,83,Comm&Mgmt,No,88,Mkt&Fin,60,Not Placed,
326,F,18,U,4,4,other,other,no,no,yes,yes,82,Central,91,State,Arts,94,Sci&Tech,Yes,69,Mkt&Fin,84,Placed,200000
327,M,18,U,3,3,other,services,no,no,yes,yes,50,State,94,State,Science,77,Sci&Tech,Yes,55,Mkt&Fin,80,Not Placed,
328,M,23,R,2,2,services,other,yes,no,no,yes,53,Central,81,Private,Arts,87,Sci&Tech,Yes,62,Mkt&HR,88,Not Placed,
329,F,18,U,4,4,teacher,services,yes,yes,yes,yes,84,Central,66,State,Commerce,87,Comm&Mgmt,No,94,Mkt&HR,95,Placed,200000
330,F,19,U,4,4,teacher,teacher,yes,yes,no,yes,78,State,61,Central,Commerce,60,Sci&Tech,No,69,Mkt&HR,79,Placed,300000
331,M,21,U,2,2,other,other,yes,no,yes,yes,50,State,53,Central,Commerce,92,Sci&Tech,No,92,Mkt&Fin,86,Placed,300000
332,M,19,R,2,4,at_home,other,yes,no,no,yes,50,Central,93,State,Commerce,85,Comm&Mgmt,Yes,51,Mkt&Fin,51,Placed,250000
333,M,20,U,3,3,services,services,no,no,yes,yes,54,Central,79,Central,Arts,81,Comm&Mgmt,Yes,57,Mkt&Fin,92,Placed,200000
334,M,20,U,2,2,other,other,no,no,yes,yes,68,Private,69,Central,Science,57,Comm&Mgmt,Yes,92,Mkt&Fin,73,Placed,350000
335,M,21,R,2,2,at_home,other,no,no,yes,no,79,State,87,Central,Commerce,80,Comm&Mgmt,No,95,Mkt&Fin,87,Not Placed,
336,F,23,U,3,4,services,other,no,no,no,yes,66,Central,90,Central,Commerce,54,Sci&Tech,Yes,82,Mkt&HR,74,Not Placed,
337,M,20,R,3,1,services,at_home,no,yes,no,no,87,Private,66,Central,Science,74,Comm&Mgmt,No,59,Mkt&Fin,82,Not Placed,
338,M,21,U,3,2,other,other,yes,yes,no,yes,52,Central,66,Central,Arts,58,Sci&Tech,Yes,53,Mkt&Fin,52,Placed,400000
339,F,21,U,3,3,services,services,yes,no,no,yes,92,Central,53,State,Arts,55,Sci&Tech,Yes,57,Mkt&Fin,86,Placed,200000
340,F,22,R,3,2,other,other,yes,yes,no,yes,63,Central,91,Central,Science,53,Sci&Tech,Yes,67,Mkt&Fin,86,Placed,400000
341,F,18,U,2,1,services,services,no,yes,yes,yes,85,State,55,State,Science,67,Sci&Tech,No,69,Mkt&Fin,91,Placed,300000
342,M,19,U,4,4,teacher,services,yes,no,yes,yes,50,Central,94,State,Commerce,94,Comm&Mgmt,Yes,57,Mkt&Fin,88,Not Placed,
343,F,22,U,3,4,services,other,no,no,yes,yes,78,Central,70,State,Arts,65,Sci&Tech,No,68,Mkt&Fin,91,Placed,255000
344,M,23,U,2,2,at_home,at_home,yes,no,no,yes,77,Private,67,Private,Science,59,Sci&Tech,Yes,65,Mkt&HR,84,Placed,300000
345,F,18,U,2,3,at_home,other,yes,no,no,yes,87,Central,60,State,Arts,85,Sci&Tech,Yes,68,Mkt&HR,70,Placed,200000
346,F,18,U,3,2,other,services,no,no,no,yes,95,State,53,State,Commerce,87,Comm&Mgmt,No,57,Mkt&Fin,80,Not Placed,
347,F,19,R,4,3,teacher,services,no,no,no,yes,61,Central,75,Private,Commerce,87,Comm&Mgmt,Yes,91,Mkt&HR,62,Placed,300000
348,F,23,U,4,3,teacher,other,yes,yes,no,yes,86,State,77,State,Science,72,Sci&Tech,No,50,Mkt&HR,88,Not Placed,
349,F,22,U,4,3,health,other,yes,yes,yes,yes,52,Private,80,Central,Arts,82,Comm&Mgmt,Yes,75,Mkt&HR,71,Not Placed,
350,F,19,U,4,4,at_home,teacher,no,no,no,no,94,Private,90,State,Science,84,Sci&Tech,Yes,73,Mkt&Fin,91,Not Placed,
351,M,19,U,1,1,at_home,other,yes,no,no,yes,69,State,67,State,Science,91,Comm&Mgmt,No,55,Mkt&Fin,67,Not Placed,
352,F,18,U,1,1,at_home,other,no,yes,no,yes,60,Central,87,Central,Science,56,Sci&Tech,Yes,59,Mkt&Fin,68,Not Placed,
353,M,18,U,4,2,health,services,yes,yes,yes,yes,61,Private,70,State,Arts,54,Comm&Mgmt,No,55,Mkt&Fin,94,Placed,400000
354,M,22,U,3,3,other,other,yes,yes,no,no,79,Central,82,Central,Science,80,Comm&Mgmt,No,59,Mkt&HR,70,Not Placed,
355,M,19,U,4,3,services,other,yes,yes,yes,yes,82,State,59,Private,Commerce,65,Sci&Tech,Yes,50,Mkt&HR,71,Placed,355000
356,F,23,U,2,2,other,other,no,no,no,yes,94,State,93,State,Arts,65,Sci&Tech,Yes,59,Mkt&HR,93,Placed,300000
357,M,21,U,4,4,other,teacher,yes,no,no,no,88,State,70,Private,Arts,61,Sci&Tech,No,56,Mkt&HR,92,Not Placed,
358,F,23,U,3,2,services,other,yes,yes,no,yes,63,Central,87,Central,Commerce,82,Comm&Mgmt,No,73,Mkt&HR,69,Placed,350000
359,M,20,U,3,4,other,other,yes,yes,yes,yes,93,State,63,Private,Arts,65,Comm&Mgmt,Yes,74,Mkt&HR,81,Placed,200000
360,M,23,U,4,4,teacher,health,yes,yes,no,yes,53,Central,72,Private,Arts,66,Comm&Mgmt,Yes,62,Mkt&Fin,81,Not Placed,
361,F,23,U,2,1,services,other,yes,no,yes,yes,69,State,63,Central,Science,83,Comm&Mgmt,No,63,Mkt&Fin,66,Placed,250000
362,F,22,U,4,4,health,services,yes,yes,yes,yes,54,State,54,Central,Commerce,65,Comm&Mgmt,Yes,59,Mkt&Fin,50,Not Placed,
363,M,18,U,4,3,teacher,other,yes,yes,no,yes,74,Private,60,Central,Science,78,Sci&Tech,Yes,74,Mkt&Fin,85,Not Placed,
364,F,20,U,2,2,other,other,yes,no,no,yes,68,Private,58,State,Commerce,87,Sci&Tech,No,60,Mkt&HR,86,Placed,250000
365,M,19,U,4,4,health,other,yes,no,no,yes,65,Central,60,Central,Science,59,Comm&Mgmt,Yes,72,Mkt&HR,82,Not Placed,
366,F,19,U,4,4,services,services,yes,yes,yes,yes,57,Central,65,Central,Arts,67,Comm&Mgmt,No,73,Mkt&HR,95,Placed,200000
